"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
7.5409,34592,34592,0,78.115,58.792,122.7
7.5472,33990,38029,0.288,78.12,58.744,122.5
7.5471,38168,38168,0,78.119,58.734,122.46
7.5458,38143,38143,0,78.137,58.609,121.84
7.5501,38121,38030,0.168,78.148,58.568,121.64
7.5512,38121,38119,0.64,78.152,58.556,121.58
7.5516,38119,38123,0.052,78.153,58.55,121.56
7.5527,38123,38123,0,78.157,58.52,121.44
7.541,38109,38109,0,78.168,58.459,121.04
7.5393,38130,38085,0.192,78.173,58.348,120.58
7.5407,38130,38132,0.452,78.175,58.331,120.51
7.5383,38132,38128,0.904,78.178,58.305,120.34
7.5379,38128,38128,0,78.178,58.303,120.33
7.5285,38102,38102,0,78.155,58.131,119.59
7.5249,38099,38100,0.248,78.153,58.088,119.47
7.4887,38095,38095,0,78.083,57.843,118.72
7.4798,38063,34281,0.796,78.053,57.786,118.54
7.4776,38147,34281,0.596,78.048,57.779,118.51
7.4125,38145,38145,0,77.942,57.549,117.74
7.3968,26368,29581,0.268,77.882,57.393,116.96
7.386,38087,38087,0,77.88,57.263,116.45
7.3676,18579,18579,0,77.795,57.084,115.52
7.387,9099,34096,0.944,77.786,57.041,115.14
7.3881,34096,9357,0.196,77.785,57.038,115.12
7.3885,33899,33899,0,77.777,57.028,115.06
7.3749,34079,26465,0.94,77.756,56.981,114.7
7.3721,25831,26465,0.816,77.753,56.971,114.64
7.3591,34119,25831,0.84,77.716,56.878,114.33
7.3792,34092,34092,0,77.64,56.69,113.38
7.3717,34133,34134,0.884,77.479,56.433,112.49
7.3724,34134,6400,0.128,77.47,56.41,112.42
7.3769,26426,6400,0.44,77.412,56.275,112.01
7.4007,34147,34147,0,77.25,56.046,111.22
7.4115,34145,34145,0,77.198,55.922,110.85
7.4531,16652,34139,0.34,77.001,55.648,109.95
7.4818,16652,26094,0.764,76.936,55.527,109.56
7.5089,25705,26522,0.372,76.88,55.451,109.25
7.5399,26522,16638,0.464,76.779,55.364,108.85
7.5714,26478,16638,0.184,76.684,55.289,108.5
7.5822,26478,38043,0.368,76.645,55.221,108.27
7.5996,38043,38043,0,76.598,55.132,107.88
7.6118,38047,38046,0.2,76.579,55.079,107.68
7.6154,38041,25703,0.952,76.537,55.025,107.41
