x,y,z
9.714814758300781250e+01,4.753427124023437500e+01,1.458407745361328125e+02
9.700729370117187500e+01,4.763555908203125000e+01,1.458992767333984375e+02
9.668225860595703125e+01,4.783544540405273438e+01,1.460377807617187500e+02
9.667678833007812500e+01,4.783873367309570312e+01,1.460397796630859375e+02
9.660787200927734375e+01,4.788966751098632812e+01,1.460685119628906250e+02
9.605423736572265625e+01,4.827230453491210938e+01,1.462999267578125000e+02
9.596289062500000000e+01,4.833270645141601562e+01,1.463260192871093750e+02
9.596206665039062500e+01,4.833321762084960938e+01,1.463262939453125000e+02
9.575627136230468750e+01,4.846025085449218750e+01,1.463964385986328125e+02
9.558724212646484375e+01,4.855702209472656250e+01,1.464635620117187500e+02
9.548104858398437500e+01,4.862995147705078125e+01,1.465062408447265625e+02
9.506110382080078125e+01,4.891972732543945312e+01,1.466277313232421875e+02
9.473532867431640625e+01,4.916801452636718750e+01,1.467360534667968750e+02
9.408399200439453125e+01,4.958924102783203125e+01,1.469114837646484375e+02
9.384969329833984375e+01,4.975516891479492188e+01,1.469781646728515625e+02
9.371852111816406250e+01,4.986441802978515625e+01,1.470264739990234375e+02
9.328107452392578125e+01,5.017173767089843750e+01,1.471694793701171875e+02
9.244541931152343750e+01,5.085378265380859375e+01,1.474278259277343750e+02
9.236050415039062500e+01,5.091548538208007812e+01,1.474507751464843750e+02
9.215313720703125000e+01,5.105967330932617188e+01,1.475178985595703125e+02
9.208209991455078125e+01,5.112022399902343750e+01,1.475424652099609375e+02
9.128437042236328125e+01,5.178998184204101562e+01,1.476863708496093750e+02
9.101638793945312500e+01,5.198442459106445312e+01,1.477175903320312500e+02
9.086521148681640625e+01,5.212694549560546875e+01,1.477344512939453125e+02
9.052283477783203125e+01,5.243130493164062500e+01,1.477695007324218750e+02
9.021414947509765625e+01,5.269496154785156250e+01,1.477702178955078125e+02
8.967671966552734375e+01,5.308765411376953125e+01,1.477832794189453125e+02
8.924694061279296875e+01,5.350411987304687500e+01,1.478207092285156250e+02
8.911984252929687500e+01,5.361619949340820312e+01,1.478363342285156250e+02
8.855815887451171875e+01,5.402397918701171875e+01,1.477971649169921875e+02
8.855308532714843750e+01,5.402835464477539062e+01,1.477962493896484375e+02
8.743799591064453125e+01,5.494197463989257812e+01,1.477170104980468750e+02
8.732574462890625000e+01,5.502125930786132812e+01,1.477197875976562500e+02
8.590419006347656250e+01,5.612739181518554688e+01,1.473431091308593750e+02
8.590417480468750000e+01,5.612739562988281250e+01,1.473430938720703125e+02
8.590203094482421875e+01,5.612774276733398438e+01,1.473410644531250000e+02
8.577941894531250000e+01,5.619829177856445312e+01,1.472673797607421875e+02
8.408093261718750000e+01,5.755756378173828125e+01,1.466500854492187500e+02
8.403070831298828125e+01,5.759117889404296875e+01,1.466239624023437500e+02
8.286280822753906250e+01,5.833644104003906250e+01,1.455959930419921875e+02
8.280037689208984375e+01,5.837405776977539062e+01,1.455517272949218750e+02
8.172990417480468750e+01,5.920705413818359375e+01,1.446821746826171875e+02
8.154334259033203125e+01,5.932448196411132812e+01,1.445321197509765625e+02
8.087620544433593750e+01,5.986902999877929688e+01,1.438539886474609375e+02
8.043543243408203125e+01,6.016417312622070312e+01,1.433762817382812500e+02
8.042005920410156250e+01,6.017501449584960938e+01,1.433562011718750000e+02
8.020996093750000000e+01,6.031922912597656250e+01,1.431117248535156250e+02
7.932444000244140625e+01,6.091970443725585938e+01,1.416650543212890625e+02
7.918527984619140625e+01,6.100458145141601562e+01,1.414468078613281250e+02
